*X-Coordinate,*Y-Coordinate,*Z-Coordinate,DESCR,*Vertex Number,LEVEL
20576.2304,28819.47395,6564.469967,Truck_Side_Loading_Location,1,4430
20471.18025,28810.79581,6561.307727,Truck_Side_Loading_Location,2,4430
20808.75901,29076.74162,6226.443688,Truck_Side_Loading_Location,1,4770
20708.82108,29068.22103,6223.434673,Truck_Side_Loading_Location,2,4770
21015.81172,28376.70088,5938.274992,Truck_Side_Loading_Location,1,5060
20917.18845,28368.07246,5935.304992,Truck_Side_Loading_Location,2,5060
20740.33921,29032.9805,6314.049505,Truck_Side_Loading_Location,1,4660
20641.22982,29024.31232,6311.108009,Truck_Side_Loading_Location,2,4660
20976.56788,28144.76122,6119.467326,Truck_Side_Loading_Location,1,4880
20877.68585,28136.12418,6116.505284,Truck_Side_Loading_Location,2,4880
20876.30109,28203.82108,6211.606736,Truck_Side_Loading_Location,1,4790
20777.67782,28195.19266,6208.636736,Truck_Side_Loading_Location,2,4790
20783.43284,28265.11456,6300.7062,Truck_Side_Loading_Location,1,4700
20684.80957,28256.48614,6297.7362,Truck_Side_Loading_Location,2,4700
20691.31426,28322.50399,6390.788626,Truck_Side_Loading_Location,1,4610
20592.53578,28313.87783,6387.57051,Truck_Side_Loading_Location,2,4610
20670.46265,29067.03758,7251.984788,Rock_Pass_Access,1,3400
20730.8094,29127.38433,7251.984788,Rock_Pass_Access,2,3400
20730.8094,29127.38433,7251.984788,Rock_Pass,1,4520
20733.87772,29105.50601,6532.590947,Rock_Pass,2,4520
20924.42889,28876.68892,6113.62455,Rock_Pass_Access,1,4860
20996.81233,28885.91431,6115.813619,Rock_Pass_Access,2,4860
21048.50477,28929.73563,6684.839,Rock_Pass_Access,1,4340
20996.81233,28885.91431,6687.501,Rock_Pass_Access,2,4340
20996.81233,28885.91431,6687.501,Rock_Pass,1,4860
20996.81233,28885.91431,6115.813619,Rock_Pass,2,4860
20510.67694,28729.93836,6656.319531,Truck_Side_Loading_Location,1,4340
20412.05367,28721.30995,6653.349531,Truck_Side_Loading_Location,2,4340
20638.51341,28849.99375,6471.639624,Truck_Side_Loading_Location,1,4520
20539.89014,28841.36534,6468.669624,Truck_Side_Loading_Location,2,4520
21075.47075,28166.09282,6026.568011,Truck_Side_Loading_Location,1,4970
20979.68914,28143.90233,6023.058621,Truck_Side_Loading_Location,2,4970
20148.91234,28870.22503,6798.987368,Truck_Side_Loading_Location,1,4200
20055.93574,28851.8313,6801,Truck_Side_Loading_Location,2,4200
20168.99647,28774.11919,6966.507541,Truck_Side_Loading_Location,1,4030
20006.00968,28754.67567,6971,Truck_Side_Loading_Location,2,4030
20144.37619,28856.38126,6883.441994,Truck_Side_Loading_Location,1,4110
20012.81604,28840.79892,6886,Truck_Side_Loading_Location,2,4110
20647.23129,28955.71527,6309.042237,178OB_Internal_Lateral_Drift,1,4660
